Name of District,Name of Police Station,Location of Accident Spot,Name of Road,Road No,Type of road,Precise Landmark(Starting Point),Ending Point,Total accidents (Fatal+Grievous),Total Fatalities,"GEOGRAPHICAL COORDINATES (STARTING POINT (LAT,LONG))","ENDING POINT (LAT,LONG)"
Kollam,Parippally,Kalluvathukkal,Panvel - Kanyakumari Road,NH - 66,NH,NADAKKAL SERVICE CO-OP: BANK,RAJ RESIDENCY,42,20,"8.833448, 76.744531","8.836096, 76.739952"
Kollam,Sakthikulangara,Kavanadu to Kappithans,Panvel - Kanyakumari Road,NH - 66,NH,ALTHARAMOODU,KAPPITHAN JN.,56,26,"8.925398, 76.555516","8.928472, 76.550564"
Kollam,Sasthamcotta,Bharanikavu,Adoor - Sasthamkotta Road,SH - 37,SH,Mannenna Mukku,Padmavathy Jn,39,4,"9.049044 ,76.630522","9.052432,76.633239"
Alappuzha,Ambalappuzha,Ambalappuzha,Panvel - Kanyakumari Road,NH - 66,NH,Kacherry Jn.,Payalkulangara,28,6,"9.377253 ,76.357784","9.375823,76.358076"
Alappuzha,Ambalappuzha,Neerkunnam,Panvel - Kanyakumari Road,NH - 66,NH,Vandanam,S.N.Kavala,29,3,"9.417808 ,76.351248","9.400783,76.351968"
Alappuzha,Ambalappuzha,Karoor,Panvel - Kanyakumari Road,NH - 66,NH,Payalkulangara,Pazhayangadi,25,4,"9.375823, 76.358076","9.361956,76.362357"
Alappuzha,Aroor,Aroor Bypass to Aroor Temple,Panvel - Kanyakumari Road,NH - 66,NH, U turn , Aroor Temple Jn,168,20,"9.4512707, 76.3885517","9.4535977,  76.3838937"
Alappuzha,Haripad,Madhava Junction,Panvel - Kanyakumari Road,NH - 66,NH,KSRTC,Danappady,43,9,"9.283315, 76.441389","9.283315, 76.441389"
Alappuzha,Kareelakulangara,Kareelakulangara,Panvel - Kanyakumari Road,NH - 66,NH,Kareelakulangara JN,Puthenroad Jn,48,20,"9.20075, 76.48443"," 9.867376 ,76.305492"
Alappuzha,Kareelakulangara,Ramapuram,Panvel - Kanyakumari Road,NH - 66,NH,Ramapuram,Ramapuram HS Jn,36,10,"9.193440 , 76.485226","9.21938, 76.4782"
Alappuzha,Kareelakulangara,Cheppad,Panvel - Kanyakumari Road,NH - 66,NH,NTPC JN,Cheppad JN,26,5,"9.24366, 76.46883","9.23893, 76.47073"
Alappuzha,Kareelakulangara,Puthentoad Jn.,Panvel - Kanyakumari Road,NH - 66,NH,Kareelakulangara JN,Puthenroad Jn,24,8,"9.243780 ,76.466069","9.210226 , 76.495920"
Alappuzha,Kareelakulangara,Kanjoor,Panvel - Kanyakumari Road,NH - 66,NH,Kanjoor Jn,Eluvakulangara,19,6,"9.193440 ,76.485226","9.25068, 76.46652"
Alappuzha,Kayamkulam,Mukkada,Panvel - Kanyakumari Road,NH - 66,NH,Motel Aaram,Krishnapuram Jn.,48,10,1022124.8163695 661350.6989527,"9.250759 ,76.466475"
Alappuzha,Kayamkulam,KPAC Jn.,Panvel - Kanyakumari Road,NH - 66,NH,Kunnathalummoodu,Chirakkadavam,27,3,"9.12582, 76.51696","9.154197, 76.510234"
Alappuzha,Kayamkulam,ONK Jn.,Panvel - Kanyakumari Road,NH - 66,NH,KSRTC Bridge,MSM College Jn.,31,1,"9.157854, 76.508857","9.164559, 76.502802"
Alappuzha,Kayamkulam,KSRTC Divider,Panvel - Kanyakumari Road,NH - 66,NH,KamalayamJn.,KSRTC Jn,29,2,"9.173527, 76.496431","9.17253, 76.49713"
Alappuzha,Kayamkulam,Texmo Jn.,Panvel - Kanyakumari Road,NH - 66,NH,Chirakkadavam,Kamalalyam,21,2,"9.140603, 76.512174","9.171544, 76.497806"
Alappuzha,Kayamkulam,Murikkinmoodu,Kayamkulam - Pathanapuram Road,SH - 5,SH,Onattukara Reserch centre,Mikas Auditorium,8,3,"9.17618, 76.51738","9.17679, 76.52409"
Alappuzha,Kuthiathode,Thuravoor,Panvel - Kanyakumari Road,NH - 66,NH,Milma Milk Society,"St Joseph Church, Thravoor ",31,10,"9.176803, 76.523849","9.176803, 76.523849"
Alappuzha,Kuthiathode,Puthenchanda,Panvel - Kanyakumari Road,NH - 66,NH,Saral Auditorium,Cattlefeed factory,21,3,"9.75999, 76.31796","9.74655, 76.31855"
Alappuzha,Kuthiathode,Kuthiathode,Panvel - Kanyakumari Road,NH - 66,NH,LPS Kodamthuruthu,Kuthiathode Bridge,20,1,"644088.46547
1084514.35206","644185.14438
1083603.53496"
Alappuzha,Kuthiathode,Pallithode,Alappuzha - Chellanam road,SH - 66,SH,St.Sebastian Church Pallithode ,"Prathibha Bus Stop, Pallithoide ",11,4,"9.77751, 76.2801","644365.78129
1082707.98296"
Alappuzha,Mannancherry,Kalavoor,Panvel - Kanyakumari Road,NH - 66,NH,Kalavoor Jn.,Bernad Jn.,35,13,"9.57044, 76.32761","9.55233, 76.32746"
Alappuzha,Mararikkulam,Thiruvizha,Panvel - Kanyakumari Road,NH - 66,NH,Thiruvizha South Jn,Konchery coir factory,32,11,"9.63762, 76.33466","1057051.6294249,645746.46239111"
Alappuzha,Mararikkulam,Kanjikkuzhy,Panvel - Kanyakumari Road,NH - 66,NH,South divider,Indian coffee house,31,7,"1065601.8513743, 646442.9542972","9.61384, 76.3304"
